country,date,inflation,unemployment
AT,1997-01-01,1.2,5.5
AT,1997-01-01,1.2,4.6
AT,1997-01-01,1.2,4.6
AT,1997-02-01,1.4,5.8
AT,1997-02-01,1.4,4.7
AT,1997-02-01,1.4,4.7
AT,1997-03-01,1.2,5.8
AT,1997-03-01,1.2,4.7
AT,1997-03-01,1.2,4.7
AT,1997-04-01,1.2,5.1
AT,1997-04-01,1.2,4.7
AT,1997-04-01,1.2,4.7
AT,1997-05-01,1.3,4.0
AT,1997-05-01,1.3,4.7
AT,1997-05-01,1.3,4.7
AT,1997-06-01,1.0,3.8
AT,1997-06-01,1.0,4.7
AT,1997-06-01,1.0,4.7
AT,1997-07-01,0.9,3.9
AT,1997-07-01,0.9,4.8
AT,1997-07-01,0.9,4.8
AT,1997-08-01,1.3,4.3
AT,1997-08-01,1.3,4.8
AT,1997-08-01,1.3,4.8
AT,1997-09-01,1.2,4.6
AT,1997-09-01,1.2,4.8
AT,1997-09-01,1.2,4.8
AT,1997-10-01,1.1,4.5
AT,1997-10-01,1.1,4.8
AT,1997-10-01,1.1,4.8
AT,1997-11-01,1.1,4.5
AT,1997-11-01,1.1,4.9
AT,1997-11-01,1.1,4.9
AT,1997-12-01,1.0,5.0
AT,1997-12-01,1.0,4.9
AT,1997-12-01,1.0,4.9
AT,1998-01-01,1.2,5.8
AT,1998-01-01,1.2,4.9
AT,1998-01-01,1.2,4.9
AT,1998-02-01,1.0,6.2
AT,1998-02-01,1.0,5.0
AT,1998-02-01,1.0,5.0
AT,1998-03-01,1.0,6.2
AT,1998-03-01,1.0,4.9
AT,1998-03-01,1.0,4.9
AT,1998-04-01,1.2,5.4
AT,1998-04-01,1.2,4.9
AT,1998-04-01,1.2,4.9
AT,1998-05-01,1.0,4.1
AT,1998-05-01,1.0,4.8
AT,1998-05-01,1.0,4.8
AT,1998-06-01,0.8,3.9
AT,1998-06-01,0.8,4.8
AT,1998-06-01,0.8,4.8
AT,1998-07-01,0.8,3.9
AT,1998-07-01,0.8,4.7
AT,1998-07-01,0.8,4.7
AT,1998-08-01,0.7,4.1
AT,1998-08-01,0.7,4.7
AT,1998-08-01,0.7,4.7
AT,1998-09-01,0.6,4.4
AT,1998-09-01,0.6,4.6
AT,1998-09-01,0.6,4.6
AT,1998-10-01,0.7,4.2
AT,1998-10-01,0.7,4.5
AT,1998-10-01,0.7,4.5
AT,1998-11-01,0.5,4.1
AT,1998-11-01,0.5,4.4
AT,1998-11-01,0.5,4.4
AT,1998-12-01,0.5,4.4
AT,1998-12-01,0.5,4.3
AT,1998-12-01,0.5,4.3
AT,1999-01-01,0.3,5.0
AT,1999-01-01,0.3,4.3
