country,date,inflation
AT,freq,M
BE,freq,M
DE,freq,M
ES,freq,M
FR,freq,M
IT,freq,M
NL,freq,M
PT,freq,M
AT,unit,RCH_A
BE,unit,RCH_A
DE,unit,RCH_A
ES,unit,RCH_A
FR,unit,RCH_A
IT,unit,RCH_A
NL,unit,RCH_A
PT,unit,RCH_A
AT,coicop,CP00
BE,coicop,CP00
DE,coicop,CP00
ES,coicop,CP00
FR,coicop,CP00
IT,coicop,CP00
NL,coicop,CP00
PT,coicop,CP00
AT,1997-01,1.2
BE,1997-01,2.1
DE,1997-01,1.9
ES,1997-01,2.8
FR,1997-01,1.8
IT,1997-01,2.7
NL,1997-01,1.7
PT,1997-01,2.8
AT,1997-02,1.4
BE,1997-02,1.9
DE,1997-02,1.6
ES,1997-02,2.5
FR,1997-02,1.7
IT,1997-02,2.4
NL,1997-02,1.4
PT,1997-02,2.4
AT,1997-03,1.2
BE,1997-03,1.3
DE,1997-03,1.3
ES,1997-03,2.2
FR,1997-03,1.1
IT,1997-03,2.2
NL,1997-03,1.2
PT,1997-03,2.3
AT,1997-04,1.2
BE,1997-04,1.1
DE,1997-04,1.2
ES,1997-04,1.6
FR,1997-04,1.0
IT,1997-04,1.9
NL,1997-04,1.0
PT,1997-04,1.6
AT,1997-05,1.3
BE,1997-05,1.4
DE,1997-05,1.5
ES,1997-05,1.3
FR,1997-05,0.9
IT,1997-05,1.9
NL,1997-05,1.6
PT,1997-05,1.9
AT,1997-06,1.0
BE,1997-06,1.6
DE,1997-06,1.5
ES,1997-06,1.4
FR,1997-06,1.0
IT,1997-06,1.6
NL,1997-06,1.5
PT,1997-06,1.6
AT,1997-07,0.9
BE,1997-07,1.9
DE,1997-07,1.6
ES,1997-07,1.5
FR,1997-07,1.1
IT,1997-07,1.7
NL,1997-07,1.9
PT,1997-07,1.4
AT,1997-08,1.3
BE,1997-08,1.7
DE,1997-08,1.7
ES,1997-08,1.7
FR,1997-08,1.6
IT,1997-08,1.6
NL,1997-08,2.5
PT,1997-08,1.6
AT,1997-09,1.2
BE,1997-09,1.6
DE,1997-09,1.4
ES,1997-09,1.9
FR,1997-09,1.4
IT,1997-09,1.6
NL,1997-09,2.5
PT,1997-09,1.5
AT,1997-10,1.1
BE,1997-10,1.2
DE,1997-10,1.5
ES,1997-10,1.8
FR,1997-10,1.1
IT,1997-10,1.9
NL,1997-10,2.3
PT,1997-10,1.6
AT,1997-11,1.1
BE,1997-11,1.3
DE,1997-11,1.6
