country,date,unemployment
IT,1983-01,7.2
NL,1983-01,10.0
FR,1983-01,7.1
IT,1983-01,6.9
NL,1983-01,9.5
PT,1983-01,8.1
IT,1983-01,7.0
NL,1983-01,9.5
PT,1983-01,8.1
IT,1983-02,7.3
NL,1983-02,10.2
FR,1983-02,6.7
IT,1983-02,7.1
NL,1983-02,9.5
PT,1983-02,8.1
IT,1983-02,7.1
NL,1983-02,9.5
PT,1983-02,8.1
IT,1983-03,7.4
NL,1983-03,10.3
FR,1983-03,6.7
IT,1983-03,7.2
NL,1983-03,9.5
PT,1983-03,8.3
IT,1983-03,7.2
NL,1983-03,9.5
PT,1983-03,8.3
IT,1983-04,7.3
NL,1983-04,9.7
FR,1983-04,7.0
IT,1983-04,7.2
NL,1983-04,9.5
PT,1983-04,8.5
IT,1983-04,7.2
NL,1983-04,9.5
PT,1983-04,8.5
IT,1983-05,7.2
NL,1983-05,9.4
FR,1983-05,7.2
IT,1983-05,7.3
NL,1983-05,9.5
PT,1983-05,8.8
IT,1983-05,7.3
NL,1983-05,9.5
PT,1983-05,8.8
IT,1983-06,7.2
NL,1983-06,9.7
FR,1983-06,7.4
IT,1983-06,7.3
NL,1983-06,9.5
PT,1983-06,9.0
IT,1983-06,7.3
NL,1983-06,9.5
PT,1983-06,9.0
IT,1983-07,7.1
NL,1983-07,8.8
FR,1983-07,7.5
IT,1983-07,7.4
NL,1983-07,9.5
PT,1983-07,9.2
IT,1983-07,7.4
NL,1983-07,9.5
PT,1983-07,9.2
IT,1983-08,7.1
NL,1983-08,8.8
FR,1983-08,7.6
IT,1983-08,7.4
NL,1983-08,9.5
PT,1983-08,9.4
IT,1983-08,7.5
NL,1983-08,9.5
PT,1983-08,9.4
IT,1983-09,7.3
NL,1983-09,9.4
FR,1983-09,7.7
IT,1983-09,7.5
NL,1983-09,9.5
PT,1983-09,9.4
IT,1983-09,7.5
NL,1983-09,9.5
PT,1983-09,9.4
IT,1983-10,7.6
NL,1983-10,9.5
FR,1983-10,7.8
IT,1983-10,7.6
NL,1983-10,9.5
PT,1983-10,9.3
IT,1983-10,7.6
NL,1983-10,9.5
PT,1983-10,9.3
IT,1983-11,7.8
NL,1983-11,9.5
FR,1983-11,7.9
IT,1983-11,7.7
NL,1983-11,9.5
PT,1983-11,9.3
IT,1983-11,7.7
NL,1983-11,9.5
PT,1983-11,9.3
IT,1983-12,7.9
NL,1983-12,8.8
FR,1983-12,8.0
IT,1983-12,7.8
NL,1983-12,9.5
PT,1983-12,9.3
IT,1983-12,7.7
NL,1983-12,9.5
PT,1983-12,9.3
IT,1984-01,8.2
NL,1984-01,9.9
FR,1984-01,8.1
IT,1984-01,7.9
